"Date(UTC)","UnixTimeStamp","Value"
"12/18/2016","1482019200","36640"
"12/19/2016","1482105600","45599"
"12/20/2016","1482192000","44241"
"12/21/2016","1482278400","50793"
"12/22/2016","1482364800","55173"
"12/23/2016","1482451200","44391"
"12/24/2016","1482537600","37757"
"12/25/2016","1482624000","36601"
"12/26/2016","1482710400","34565"
"12/27/2016","1482796800","42370"
"12/28/2016","1482883200","43386"
"12/29/2016","1482969600","46546"
"12/30/2016","1483056000","44561"
"12/31/2016","1483142400","41220"
"1/1/2017","1483228800","38730"
"1/2/2017","1483315200","39652"
"1/3/2017","1483401600","45883"
"1/4/2017","1483488000","50673"
"1/5/2017","1483574400","49596"
"1/6/2017","1483660800","43804"
"1/7/2017","1483747200","43622"
"1/8/2017","1483833600","42727"
"1/9/2017","1483920000","46188"
"1/10/2017","1484006400","48179"
"1/11/2017","1484092800","45221"
"1/12/2017","1484179200","50589"
"1/13/2017","1484265600","50833"
"1/14/2017","1484352000","42044"
"1/15/2017","1484438400","41748"
"1/16/2017","1484524800","45375"
"1/17/2017","1484611200","46671"
"1/18/2017","1484697600","44994"
"1/19/2017","1484784000","43628"
"1/20/2017","1484870400","45775"
"1/21/2017","1484956800","43302"
"1/22/2017","1485043200","47432"
"1/23/2017","1485129600","46076"
"1/24/2017","1485216000","50414"
"1/25/2017","1485302400","46256"
"1/26/2017","1485388800","46856"
"1/27/2017","1485475200","46680"
"1/28/2017","1485561600","45189"
"1/29/2017","1485648000","42509"
"1/30/2017","1485734400","45369"
"1/31/2017","1485820800","43649"
"2/1/2017","1485907200","44541"
"2/2/2017","1485993600","43709"
"2/3/2017","1486080000","42778"
"2/4/2017","1486166400","45410"
"2/5/2017","1486252800","46542"
"2/6/2017","1486339200","47306"
"2/7/2017","1486425600","51866"
"2/8/2017","1486512000","51089"
"2/9/2017","1486598400","47873"
"2/10/2017","1486684800","52222"
"2/11/2017","1486771200","46560"
"2/12/2017","1486857600","45319"
"2/13/2017","1486944000","55990"
"2/14/2017","1487030400","58298"
"2/15/2017","1487116800","55320"
"2/16/2017","1487203200","49674"
"2/17/2017","1487289600","49406"
"2/18/2017","1487376000","49398"
"2/19/2017","1487462400","48227"
"2/20/2017","1487548800","50152"
"2/21/2017","1487635200","58434"
"2/22/2017","1487721600","50372"
"2/23/2017","1487808000","47601"
"2/24/2017","1487894400","54081"
"2/25/2017","1487980800","53245"
"2/26/2017","1488067200","51716"
"2/27/2017","1488153600","52642"
"2/28/2017","1488240000","60277"
"3/1/2017","1488326400","59774"
"3/2/2017","1488412800","70779"
"3/3/2017","1488499200","64294"
"3/4/2017","1488585600","58756"
"3/5/2017","1488672000","57031"
"3/6/2017","1488758400","57020"
"3/7/2017","1488844800","62589"
"3/8/2017","1488931200","55386"
"3/9/2017","1489017600","64266"
"3/10/2017","1489104000","65132"
"3/11/2017","1489190400","64803"
"3/12/2017","1489276800","66646"
"3/13/2017","1489363200","81718"
"3/14/2017","1489449600","77155"
"3/15/2017","1489536000","81205"
"3/16/2017","1489622400","109950"
"3/17/2017","1489708800","106635"
"3/18/2017","1489795200","89920"
"3/19/2017","1489881600","84599"
"3/20/2017","1489968000","80264"
"3/21/2017","1490054400","84298"
"3/22/2017","1490140800","78821"
"3/23/2017","1490227200","82434"
"3/24/2017","1490313600","87775"
"3/25/2017","1490400000","84394"
"3/26/2017","1490486400","79534"
"3/27/2017","1490572800","94570"
"3/28/2017","1490659200","84348"
"3/29/2017","1490745600","93064"
"3/30/2017","1490832000","96209"
"3/31/2017","1490918400","103102"
"4/1/2017","1491004800","80572"
"4/2/2017","1491091200","88948"
"4/3/2017","1491177600","100221"
"4/4/2017","1491264000","86279"
"4/5/2017","1491350400","87411"
"4/6/2017","1491436800","95177"
"4/7/2017","1491523200","92846"
"4/8/2017","1491609600","72144"
"4/9/2017","1491696000","74557"
"4/10/2017","1491782400","75487"
"4/11/2017","1491868800","75891"
"4/12/2017","1491955200","80347"
"4/13/2017","1492041600","84124"
"4/14/2017","1492128000","81155"
"4/15/2017","1492214400","74820"
"4/16/2017","1492300800","70634"
"4/17/2017","1492387200","72546"
"4/18/2017","1492473600","83303"
"4/19/2017","1492560000","85734"
"4/20/2017","1492646400","85450"
"4/21/2017","1492732800","81278"
"4/22/2017","1492819200","73539"
"4/23/2017","1492905600","77073"
"4/24/2017","1492992000","80531"
"4/25/2017","1493078400","93033"
"4/26/2017","1493164800","89642"
"4/27/2017","1493251200","104494"
"4/28/2017","1493337600","106193"
"4/29/2017","1493424000","91335"
"4/30/2017","1493510400","95202"
"5/1/2017","1493596800","112202"
"5/2/2017","1493683200","110354"
"5/3/2017","1493769600","97334"
"5/4/2017","1493856000","114877"
"5/5/2017","1493942400","108514"
"5/6/2017","1494028800","95014"
"5/7/2017","1494115200","106631"
"5/8/2017","1494201600","117509"
"5/9/2017","1494288000","112933"
"5/10/2017","1494374400","109673"
"5/11/2017","1494460800","117189"
"5/12/2017","1494547200","107241"
"5/13/2017","1494633600","101332"
"5/14/2017","1494720000","101348"
"5/15/2017","1494806400","122792"
"5/16/2017","1494892800","116341"
"5/17/2017","1494979200","140135"
"5/18/2017","1495065600","137409"
"5/19/2017","1495152000","161568"
"5/20/2017","1495238400","130912"
"5/21/2017","1495324800","149699"
"5/22/2017","1495411200","176255"
"5/23/2017","1495497600","187121"
"5/24/2017","1495584000","187293"
"5/25/2017","1495670400","183010"
"5/26/2017","1495756800","169818"
"5/27/2017","1495843200","149450"
"5/28/2017","1495929600","155271"
"5/29/2017","1496016000","158547"
"5/30/2017","1496102400","193618"
"5/31/2017","1496188800","214126"
"6/1/2017","1496275200","199160"
"6/2/2017","1496361600","194911"
"6/3/2017","1496448000","175666"
"6/4/2017","1496534400","180136"
"6/5/2017","1496620800","190305"
"6/6/2017","1496707200","200523"
"6/7/2017","1496793600","207180"
"6/8/2017","1496880000","187700"
"6/9/2017","1496966400","215831"
"6/10/2017","1497052800","213356"
"6/11/2017","1497139200","240490"
