Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,0.062910,0.063023,0.058865,0.061663,0.061663,2304953
2020-12-17,0.061778,0.062069,0.056456,0.058362,0.058362,3215711
2020-12-18,0.058342,0.067752,0.057775,0.060922,0.060922,1066250
2020-12-19,0.060937,0.066102,0.059518,0.062360,0.062360,625128
2020-12-20,0.062366,0.065906,0.060345,0.063244,0.063244,1540029
2020-12-21,0.063140,0.069465,0.059460,0.061236,0.061236,1843788
2020-12-22,0.061022,0.062039,0.056769,0.060918,0.060918,2062118
2020-12-23,0.060912,0.061546,0.047436,0.050849,0.050849,3057523
2020-12-24,0.050424,0.057428,0.046968,0.057283,0.057283,2633014
2020-12-25,0.057296,0.057526,0.052038,0.052634,0.052634,2550983
2020-12-26,0.052626,0.054983,0.051995,0.054522,0.054522,1704440
2020-12-27,0.054531,0.060949,0.054093,0.057767,0.057767,1788789
2020-12-28,0.057644,0.062390,0.056156,0.059216,0.059216,1807304
2020-12-29,0.059331,0.063898,0.054238,0.058350,0.058350,3072502
2020-12-30,0.058349,0.061152,0.056250,0.058641,0.058641,2247139
2020-12-31,0.058717,0.063819,0.057780,0.060414,0.060414,1672691
2021-01-01,0.060415,0.063641,0.059736,0.062478,0.062478,1583624
2021-01-02,0.062488,0.077088,0.062002,0.065776,0.065776,2313046
2021-01-03,0.065768,0.071121,0.062991,0.065801,0.065801,1595708
2021-01-04,0.065874,0.071749,0.058975,0.069189,0.069189,1888288
2021-01-05,0.069199,0.071384,0.064352,0.068604,0.068604,1780740
2021-01-06,0.068601,0.074941,0.067224,0.074121,0.074121,2248242
2021-01-07,0.074082,0.086384,0.073927,0.078627,0.078627,4187641
2021-01-08,0.078594,0.081488,0.072916,0.075200,0.075200,1843870
2021-01-09,0.075213,0.084290,0.074644,0.082656,0.082656,2152189
2021-01-10,0.082658,0.085565,0.072972,0.078638,0.078638,2157657
2021-01-11,0.078614,0.085312,0.063348,0.074998,0.074998,2490666
2021-01-12,0.075061,0.081571,0.070642,0.078928,0.078928,4410112
2021-01-13,0.078757,0.080529,0.075115,0.077881,0.077881,2119848
2021-01-14,0.078154,0.083622,0.076547,0.083394,0.083394,844513
2021-01-15,0.083716,0.085596,0.076663,0.084773,0.084773,2403653
2021-01-16,0.084774,0.086380,0.078135,0.079406,0.079406,2677568
2021-01-17,0.079359,0.089625,0.075560,0.088268,0.088268,2308340
